eid,id,date,name,ned,org,datatype,cn0,cn1,cn2,distmin,gl,rs0,rs1,rs2,nt10,nt11,nt20,nt21,nt30,nt31,nt40,nt41,nt50,nt51,nt60,nt61,nt70,nt71
29,quievrain,2014-05-25,Quiévrain,,CFW,2,1531,476,361,,0,2014-05-25 08:30,2014-05-25 08:00,2014-05-25 08:00,2014-05-25 00:00,2014-05-25 23:59,,,,,,,,,,,,
30,quievrain,2014-06-08,Quiévrain,,CFW,2,899,388,333,,0,2014-06-08 11:30,2014-06-08 11:00,2014-06-08 11:00,2014-06-08 00:00,2014-06-08 23:59,,,,,,,,,,,,
31,quievrain,2014-06-22,Quiévrain,,CFW,2,1860,302,278,,0,2014-06-22 08:00,2014-06-22 08:00,2014-06-22 08:00,2014-06-22 00:00,2014-06-22 23:59,,,,,,,,,,,,
32,quievrain,2015-06-01,Quiévrain,,CFW,2,950,460,498,,0,2015-06-01 08:30,2015-06-01 08:00,2015-06-01 08:00,2015-06-01 00:00,2015-06-01 23:59,,,,,,,,,,,,
17,quievrain,2015-06-28,Quiévrain,,CFW,2,1645,376,408,,0,2015-06-28 08:00,2015-06-28 08:00,2015-06-28 08:00,2015-06-28 00:00,2015-06-28 23:59,,,,,,,,,,,,
18,bourges,2013-07-28,Bourges,II,CFW,2,18478,11883,9639,,440000,2013-07-28 08:30,2013-07-28 08:30,2013-07-28 08:30,2013-07-28 05:32,2013-07-28 22:36,2013-07-29 05:33,2013-07-29 22:34,2013-07-30 05:34,2013-07-30 22:33,2013-07-31 05:36,2013-07-31 22:31,2013-08-01 05:37,2013-08-01 22:30,2013-08-02 05:39,2013-08-02 22:28,,
19,bourges,2014-08-02,Bourges,II,CFW,1,30180,10141,8005,,440000,2014-08-02 07:15,2014-08-02 07:15,2014-08-02 07:15,2014-08-02 05:40,2014-08-02 22:27,2014-08-03 05:41,2014-08-03 22:25,2014-08-04 05:43,2014-08-04 22:24,2014-08-05 05:44,2014-08-05 22:22,2014-08-06 05:46,2014-08-06 22:20,2014-08-07 05:47,2014-08-07 22:18,,
20,bourges,2015-08-01,Bourges,II,CFW,1,36307,14496,9256,,440000,2015-08-01 09:00,2015-08-01 09:00,2015-08-01 09:00,2015-08-01 05:38,2015-08-01 22:29,2015-08-02 05:39,2015-08-02 22:27,2015-08-03 05:41,2015-08-03 22:26,2015-08-04 05:42,2015-08-04 22:24,2015-08-05 05:44,2015-08-05 22:22,2015-08-06 05:45,2015-08-06 22:21,,
34,bourges,2016-05-28,Bourges,I,BU,2,0,19889,19736,,440000,2016-05-28 09:40,2016-05-28 09:40,2016-05-28 09:40,2016-05-28 05:08,2016-05-28 22:43,2016-05-29 05:07,2016-05-29 22:44,2016-05-30 05:06,2016-05-30 22:45,2016-05-31 05:05,2016-05-31 22:46,2016-06-01 05:07,2016-06-01 22:47,2016-06-02 05:04,2016-06-02 22:48,,
21,chateauroux,2013-08-03,Chateauroux,II,CFW,1,12071,6005,4757,,490000,2013-08-03 08:00,2013-08-03 08:00,2013-08-03 08:00,2013-08-03 05:48,2013-08-03 22:17,2013-08-04 05:50,2013-08-04 22:15,,,,,,,,,,
22,chateauroux,2014-08-09,Chateauroux,II,CFW,1,22818,5884,4316,,490000,2014-08-09 07:40,2014-08-09 07:40,2014-08-09 07:40,2014-08-09 07:40,2014-08-09 22:00,,,,,,,,,,,,
23,chateauroux,2015-07-11,Chateauroux,II,CFW,1,0,18658,10933,,490000,2015-07-11 06:50,2015-07-11 06:50,2015-07-11 06:50,2015-07-11 05:11,2015-07-11 22:54,2015-07-12 05:12,2015-07-12 22:53,2015-07-13 05:13,2015-07-13 22:52,2015-07-14 05:14,2015-07-14 22:52,2015-07-15 05:16,2015-07-15 22:51,2015-07-16 05:17,2015-07-16 22:50,,
24,chateauroux,2015-08-08,Chateauroux,III,CFW,1,17250,5868,3933,,490000,2015-08-08 09:00,2015-08-08 09:00,2015-08-08 09:00,2015-08-08 05:48,2015-08-08 22:17,2015-08-09 05:50,2015-08-09 22:15,2015-08-10 05:51,2015-08-10 22:14,2015-08-11 05:53,2015-08-11 22:12,2015-08-12 05:54,2015-08-12 22:10,2015-08-13 05:56,2015-08-13 22:06,,
25,argenton,2012-08-11,Argenton,II,CFW,2,25949,7046,4782,,510000,2012-08-11 07:00,2012-08-11 07:00,2012-08-11 07:00,2012-08-11 05:54,2012-08-11 22:10,2012-08-12 05:56,2012-08-12 22:08,2012-08-13 05:57,2012-08-13 22:07,2012-08-14 05:59,2012-08-14 22:05,2012-08-15 06:00,2012-08-15 22:03,2012-08-16 06:02,2012-08-16 22:01,,
26,argenton,2013-08-10,Argenton,II,CFW,1,19303,6801,5941,,515000,2013-08-10 07:20,2013-08-10 07:20,2013-08-10 07:20,2013-08-10 05:52,2013-08-10 22:13,2013-08-11 05:54,2013-08-11 22:11,2013-08-12 05:55,2013-08-12 22:09,2013-08-13 05:57,2013-08-13 22:07,2013-08-14 05:58,2013-08-14 22:05,2013-08-15 06:00,2013-08-15 22:03,,
27,argenton,2014-08-16,Argenton,II,CFW,1,27267,4498,3671,,635000,2014-08-16 07:35,2014-08-16 07:35,2014-08-16 07:35,2014-08-16 06:00,2014-08-16 22:02,2014-08-17 06:02,2014-08-17 22:00,2014-08-18 06:04,2014-08-18 21:58,2014-08-19 06:06,2014-08-19 21:56,,,,,,
28,argenton,2015-08-15,Argenton,II,CFW,1,11223,2418,1759,,635000,2015-08-15 09:10,2015-08-15 09:10,2015-08-15 09:10,2015-08-15 05:59,2015-08-15 22:04,2015-08-16 06:00,2015-08-16 22:02,2015-08-17 06:02,2015-08-17 22:00,2015-08-18 06:04,2015-08-18 21:58,2015-08-19 06:05,2015-08-19 21:56,2015-08-20 06:07,2015-08-20 21:54,,
1,barcelone,2006-07-08,Barcelone,,CFW,5,0,0,22887,900,1060000,2006-07-08 09:30,2006-07-08 09:30,2006-07-08 09:30,2006-07-08 05:09,2006-07-08 22:56,2006-07-09 05:10,2006-07-09 22:55,2006-07-10 05:11,2006-07-10 22:55,2006-07-11 05:12,2006-07-11 22:54,2006-07-12 05:13,2006-07-12 22:53,2006-07-13 05:14,2006-07-13 22:52,,
2,barcelone,2007-07-06,Barcelone,,CFW,2,0,0,25716,900,1060000,2007-07-06 09:50,2007-07-06 09:50,2007-07-06 09:50,2007-07-06 05:07,2007-07-06 22:57,2007-07-07 05:08,2007-07-07 22:57,2007-07-08 05:08,2007-07-08 22:56,2007-07-09 05:09,2007-07-09 22:55,2007-07-10 05:10,2007-07-10 22:55,2007-07-11 05:11,2007-07-11 22:54,2007-07-12 05:12,2007-07-12 22:53
3,barcelone,2008-07-04,Barcelone,,CFW,2,0,0,23708,900,1060000,2008-07-04 09:45,2008-07-04 09:45,2008-07-04 09:45,2008-07-04 05:05,2008-07-04 22:58,2008-07-05 05:05,2008-07-05 22:58,,,,,,,,,,
4,barcelone,2009-07-03,Barcelone,,CFW,2,0,0,27669,900,1060000,2009-07-03 09:45,2009-07-03 09:45,2009-07-03 09:45,2009-07-03 05:05,2009-07-03 22:58,2009-07-04 05:05,2009-07-04 22:58,2009-07-05 05:06,2009-07-05 22:58,2009-07-06 05:07,2009-07-06 22:57,2009-07-07 05:08,2009-07-07 22:56,2009-07-08 05:09,2009-07-08 22:55,2009-07-09 05:10,2009-07-09 22:55
5,barcelone,2010-07-02,Barcelone,,CFW,2,0,0,25750,900,1060000,2010-07-02 09:45,2010-07-02 09:45,2010-07-02 09:45,2010-07-02 05:04,2010-07-02 22:59,2010-07-03 05:05,2010-07-03 22:59,2010-07-04 05:05,2010-07-04 22:58,2010-07-05 05:06,2010-07-05 22:58,2010-07-06 05:07,2010-07-06 22:58,2010-07-07 05:08,2010-07-07 22:57,2010-07-08 05:09,2010-07-08 22:56
6,barcelone,2011-07-08,Barcelone,,CFW,3,0,0,26068,900,1060000,2011-07-08 10:00,2011-07-08 10:00,2011-07-08 10:00,2011-07-08 05:08,2011-07-08 22:56,2011-07-09 05:09,2011-07-09 22:55,2011-07-10 05:10,2011-07-10 22:55,2011-07-11 05:11,2011-07-11 22:54,2011-07-12 05:12,2011-07-12 22:53,2011-07-13 05:13,2011-07-13 22:52,2011-07-14 05:14,2011-07-14 22:52
